game,outcome,end_reason,n_moves,loss,moves
1,D,cap_draw,150,0.000000,a2a3 g8f6 g2g3 h7h6 f2f3 g7g5 d2d4 b7b5 f3f4 b8a6 e1f2 f8g7 b2b3 h8h7 h2h3 c8b7 f1g2 e7e6 h1h2 a8b8 d1e1 b7c8 g2h1 a6b4 c2c3 c7c6 c3c4 d8c7 g3g4 c6c5 h3h4 e8d8 e1d1 f6h5 e2e3 h7h8 b1d2 a7a6 h2h3 h8g8 c1b2 g7f8 d1e1 c8b7 e1d1 b7a8 d1e1 f8g7 b2c1 a6a5 d2f1 a8c6 e1d1 f7f5 e3e4 g8h8 d1e1 b8a8 c1b2 a8b8 f2e2 h8g8 f4g5 e6e5 e2d1 g7f8 e1d2 f8g7 a1b1 d8e8 g1f3 g7f8 f1h2 f8e7 b1c1 b8d8 c1c2 g8g7 d2e1 e8f8 e1f2 f8e8 c2c3 d8c8 d1d2 g7g8 d2c1 e8f8 c1d1 a5a4 d1e1 f8g7 e1f1 g8f8 f2g2 c8d8 b2a1 d8e8 f1f2 e8d8 g2f1 d8c8 f1e1 f8g8 e1d1 c8b8 d1e1 e7f8 e1f1 f8e7 h1g2 e7d6 g2h1 c6a8 h1g2 g8f8 f1e1 f8g8 e1f1 a4b3 f1g1 g8f8 g1h1 f8e8 g2f1 e8f8 f2g1 f8f7 f1e2 d6e7 e2d1 e7f8 a3a4 g7g6 g1f1 f8g7 a4a5 g7f8 h1g1 f8g7 c3c1 c7c6 f1f2 a8b7 g1f1 b8a8 f1e1 a8a7 e1f1 b7a8
2,W,material_resign,75,0.000000,g2g3 b7b6 d2d3 c7c5 h2h4 d7d5 e1d2 c8f5 b1a3 f5c8 e2e3 b8a6 e3e4 b6b5 a1b1 h7h6 b1a1 f7f6 d1e1 a6c7 a1b1 h8h7 f1e2 h6h5 g1f3 h7h6 e1d1 d8d7 f3e5 b5b4 e2f1 a8b8 f1e2 b8a8 g3g4 e8d8 a3b5 a8b8 c2c3 b8a8 b5a3 g7g6 d1e1 f6e5 e1d1 d7e8 e2f1 f8g7 f1g2 c8d7 d1c2 e8f8 h1g1 f8f5 g2f1 d7c8 g1g2 g7f8 f1e2 g8f6 e2d1 f5e6 c3c4 e6g4 g2g3 a8b8 c2c3 g4g5 h4g5 b8b6 g3g4 e7e6 g5f6 f8g7 d1a4
3,W,material_resign,19,0.000000,b1a3 d7d6 c2c4 g7g5 e2e4 h7h5 g2g3 b8a6 d1g4 b7b6 g4c8 h8h7 e1d1 e7e5 g1f3 f7f6 c8d8 e8f7 f1e2
4,B,material_resign,128,0.000000,e2e4 b8a6 g1f3 c7c6 c2c3 a8b8 g2g3 b7b6 d1a4 d7d6 f3g1 h7h6 a4c2 g7g5 b1a3 b6b5 f2f4 e8d7 d2d3 c6c5 e1e2 h8h7 d3d4 e7e5 f1g2 d7e8 c1d2 a6b4 d2c1 d8e7 a1b1 c8b7 f4e5 e8d8 e2d1 b8a8 d1e1 h7h8 e1d2 d8e8 c3b4 e8d7 h2h3 a8b8 g1e2 g8f6 d2d3 b8c8 h1h2 c8d8 g2f1 d7c8 c2d1 c8d7 d1e1 b7a8 c1d2 d6e5 d4e5 e7e8 e1d1 h8h7 d1c2 d7c8 d3e3 e8d7 c2c4 a8b7 b2b3 h7g7 d2e1 a7a6 b1c1 d7d6 f1g2 d6d5 g2h1 d8e8 h1g2 h6h5 g2f1 c8d8 e1f2 d5d7 c4d5 d8e7 f2e1 h5h4 e3f2 f6h7 h2h1 d7c8 f2e3 a6a5 h1g1 e8d8 e1d2 c8c6 d2e1 a5a4 f1g2 d8c8 g2h1 c5c4 g1f1 c8a8 d5e6 f7e6 e1d2 a8a7 d2e1 a7a6 e1f2 e7d8 f1e1 d8c7 e3d4 f8e7 b3c4 e7f6 e1d1 g7g8 d1e1 b5c4 a3b5 c6b5 e1f1 g8f8
5,B,material_resign,90,0.000000,e2e3 g8f6 d2d3 c7c6 a2a4 g7g6 c2c3 d8a5 f2f3 a5c7 g2g3 f8g7 f1g2 a7a5 h2h3 g7f8 e1d2 f8g7 d1e2 d7d6 g3g4 e8d7 e3e4 b7b5 g2f1 e7e5 f1g2 h7h6 e2e3 h8g8 g2f1 a8a7 g1e2 d7e8 e2d4 e8f8 d2e1 a7a6 f1e2 h6h5 e3h6 c8e6 e1d1 f8e8 d1e1 e8f8 h1g1 d6d5 b1a3 c7c8 h6h7 g7h8 c3c4 f8e7 c1d2 e7f8 e1f1 f8e7 a1a2 e7f8 d2c1 c8d7 f3f4 d7d6 g1g2 d5c4 g2g3 g6g5 g3g2 f8e8 c1d2 e8d8 h7g7 e5d4 d2c1 d8d7 a2a1 d7c8 a1b1 c8d7 b1a1 g8f8 c1d2 f8g8 d2c1 d7c8 a1b1 h8g7 f1e1 c8d7
6,D,cap_draw,150,4.100343,f2f3 d7d5 c2c3 f7f6 d2d4 e7e6 e2e3 f8e7 b2b3 b8d7 a2a3 b7b5 c1b2 a7a6 d1c2 c7c6 e1d1 f6f5 b3b4 h7h6 g2g3 d7b6 f1e2 e7h4 e2f1 e8d7 f1e2 h8h7 f3f4 d8e8 h2h3 c6c5 d1e1 c5c4 e2f1 e8f8 h1h2 d7e8 f1g2 h4g5 g2f1 e8e7 e1d2 f8e8 f1g2 e7f6 g2f1 e8d8 f1g2 d8d7 g2f1 a8b8 f1g2 h7h8 g2f1 h8h7 h3h4 d7f7 f1g2 f7f8 h2h3 h7h8 b2c1 b6d7 h4h5 g7g6 g1e2 b8a8 c2a2 f8g7 g2f1 c8b7 f1g2 a8a7 g2f1 b7c6 h3h2 d7c5 b4c5 a6a5 h2g2 g8e7 g3g4 h8h7 d2d1 c6d7 g2g1 a7a8 g1h1 d7c8 d1e1 h7h8 e1f2 g5f4 c1b2 c8b7 f1g2 g7f8 g2f1 a8d8 h1h2 d8e8 f2g2 e8a8 g2f2 a8a6 h2g2 f8g8 g2g3 f6g5 f2g2 g8g7 e3e4 b7c8 b2c1 a5a4 c1d2 c8b7 g2f2 g5f6 d2e1 b7c8 f1g2 h8g8 g2f1 g8h8 g4g5 h6g5 g3g4 h8g8 f1g2 g7f8 e4d5 f8e8 e1d2 g8h8 d2c1 c8d7 c1b2 f4b8 g2h1 e8d8 b2c1 h8g8 c1b2 d7e8 g4g3 a6d6 h1g2 d8a5
7,W,material_resign,55,3.959549,e2e4 d7d5 h2h3 c8g4 g2g3 b7b6 a2a4 b8a6 f1e2 e7e6 d2d3 c7c6 c2c3 g4f3 e4d5 a6b4 c1d2 f7f6 a1a2 h7h6 a2a3 g8e7 a3b3 f6f5 d5c6 h6h5 h1h2 g7g6 d2c1 h8g8 c1d2 f3g2 f2f3 f8g7 g3g4 e6e5 d2c1 a7a5 e1d2 g6g5 d1e1 e8f8 e1d1 d8c8 d1e1 g8h8 e1f1 f8f7 f1f2 g7f8 b3b4 h5g4 f2g2 c8d8 d2e1
8,B,material_resign,138,3.983508,d2d3 g7g5 h2h3 g8f6 g1f3 e7e6 e1d2 c7c5 e2e3 b8a6 d2e1 e6e5 h1h2 b7b6 c2c3 f6g4 f3g5 f7f6 d1c2 h7h5 b1a3 h8g8 c1d2 g8g6 a3b1 a6b4 f2f3 a7a6 e3e4 g6g5 a2a3 b4d5 f3f4 d7d6 e1e2 f8g7 g2g3 a8b8 b2b3 f6f5 d2e1 e8e7 h3h4 c8d7 h2g2 d7c8 e1d2 e7f8 d2e1 e5f4 a1a2 g7e5 e2d1 g4f2 d1c1 d5c7 c2b2 f8g7 e1d2 d8f8 d2e1 g7g6 f1e2 f2e4 g2g1 c8b7 g3g4 b8c8 b3b4 f8e8 e2f1 e8d8 g1h1 a6a5 h1g1 c5c4 f1g2 d8e8 g2h1 e8d8 e1d2 d8f8 h1f3 b6b5 g4f5 g6h7 g1f1 h7g7 f5f6 f8f6 f3h1 e5d4 d2f4 g7h8 f1g1 c8f8 h1g2 g5g8 b2e2 c7e6 e2e1 b7d5 e1e4 f8a8 e4f5 d5g2 f5g6 d4c5 g1h1 a8b8 d3d4 e6g5 c1d2 b8a8 d2c1 g8g7 f4g3 a8b8 h1h2 h8g8 c1d2 b8e8 d2c1 e8f8 c1c2 d6d5 h2h3 f8b8 d4c5 f6d4 a3a4 b8a8 h3h2 g8h8 h2h3 g7g6 a2a3 a8b8
9,B,material_resign,60,3.719323,e2e4 d7d5 d2d3 g8f6 f2f3 f6g8 g1e2 c8f5 c2c3 d8d6 g2g3 h7h6 c3c4 b7b6 b1a3 b8a6 h2h3 f7f6 c4d5 a8b8 d1c2 e8f7 a3b5 d6d5 f1g2 e7e6 e1d1 d5b5 h1g1 f7e8 a2a4 e8d8 g3g4 h6h5 g2h1 f5e4 g1g2 f8a3 g2g3 g7g5 a1b1 b5a5 h3h4 e4f3 h1g2 d8e8 c2c7 e8f8 h4g5 e6e5 c7d8 f8g7 d8e8 h8h7 g2f1 h7h8 e8g8 b8g8 d1c2 a3d6
10,D,cap_draw,150,3.737009,d2d3 d7d6 g2g3 b7b5 f2f3 f7f6 h2h3 b8a6 b2b3 g8h6 c1d2 c7c6 f1g2 a6b4 g3g4 b4d3 e1f1 h6f7 d1e1 h7h6 d2c1 b5b4 e1d2 h8h7 f3f4 h6h5 a2a3 c8d7 d2e3 h7h6 c1d2 d3c1 g1f3 c6c5 h1g1 d8c8 a3a4 d7b5 f1e1 e8d8 g2h1 c8b7 d2c1 d8c8 c1d2 c8c7 a1a2 b7c8 h1g2 c8d8 b1c3 f7e5 e1d1 d8b8 g2f1 b8b7 d1e1 a7a6 f1g2 b7b6 g2f1 a6a5 f1g2 a8a7 g2f1 e5d3 e3d3 d6d5 e1d1 c7d8 f1g2 b5e8 d2e1 d8c8 g1h1 c8d8 g2f1 f6f5 h1g1 b6b5 g1h1 e8d7 e1d2 d8c8 d2e1 d7e8 h1g1 a7b7 d1c1 c8d8 f3g5 b5d7 c1b2 d7d6 b2c1 h6h7 f1g2 g7g6 g2f1 f8g7 f1g2 h5g4 g2h1 h7h8 h1g2 h8h7 g1f1 d8d7 e1f2 d7c7 h3h4 h7h6 e2e3 g7d4 c1d2 c7d8 g2h1 e8f7 d2e1 d8e8 e1d1 d6f6 e3e4 h6h4 h1g2 e8d7 d1e1 d5e4 e1e2 d7c8 f1e1 f7e6 e1d1 e6d7 g2h1 c5c4 d1c1 c8d8 e2e1 d4a7 g5h3 f6d6 d3d4 d8e8 e1f1 d7c6 f1g2 e8d8 d4c4 a7b6
